title,abstract,authors,publication_date,source,url,year,type,data_source,journal,keyword,extract,topic,language
Glycosylated cannabinoids meet computational enzyme design.,,Joseph M Jez,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,Proceedings of the National Academy of Sciences of the United States of America,bioinformatics,,,
The RANK/RANKL axis controls vascular dynamics in the bone marrow.,"Receptor activator of nuclear factor kappa B ligand (RANKL) is an essential cytokine that induces osteoclastic differentiation by monocyte-macrophage lineage precursors. Here, we showed that in addition to its conventional action, RANKL controls vascular permeability in the bone marrow, where it facilitates the mobilization of hematopoietic monocytic cells, including osteoclast precursors, and resultantly regulates bone metabolism. RANK, a cognate receptor for RANKL, is abundantly expressed in s",Takeshi Kaneko; Shinya Yari; Junichi Kikuta; Yoshiki Omatsu; Shigeto Seno; Sumire Kikuchi; Kazuma Sato; Kentaro Fujii; Takao Sudo; Tetsuo Hasegawa; Kunimaro Furuta; Qianqian Guo; Samar H Ibrahim; Kosuke Muraoka; Yoshiaki Okada; Yoshiaki Kubota; Daisuke Okuzaki; Yasuhiro Kobayashi; Atsushi Kumanogoh; Nobuyuki Udagawa; Takashi Nagasawa; Josef M Penninger; Masaru Ishii,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,Proceedings of the National Academy of Sciences of the United States of America,bioinformatics,,,
miRScore: A rapid and precise microRNA validation tool.,"MicroRNAs (miRNAs) are small non-protein-coding RNAs that regulate gene expression in many eukaryotes. Next-generation sequencing of small RNAs (small RNA-seq) is central to the discovery and annotation of miRNAs. Newly annotated miRNAs and their longer precursors encoded by MIRNA loci are typically submitted to databases such as the miRBase microRNA registry following the publication of a peer-reviewed study. However, genome-wide scans using small RNA-seq data often yield high rates of false-po",Allison Vanek; Sam Griffiths-Jones; Blake C Meyers; Saima Shahid; Michael J Axtell,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,PLoS computational biology,computational biology,,,
Global genomic survey of ,Antimicrobial resistance (AMR) in ,Kaifeng Chen; Junhao Peng; Zhong Peng; Renhang Xiao; Nanwei Wang; Yuhui Deng; Canji Wu; Zexin Zheng; Jin Guan; Yixin Tang; Qijie Lin; Chenggang Xu; Xuebin Xu; Ming Liao; Jianmin Zhang,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,Emerging microbes & infections,computational biology,,,
Glycosylated cannabinoids meet computational enzyme design.,,Joseph M Jez,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,Proceedings of the National Academy of Sciences of the United States of America,computational biology,,,
From sequence to scaffold: Computational design of protein nanoparticle vaccines from AlphaFold2-predicted building blocks.,"Self-assembling protein nanoparticles are being increasingly utilized in the design of next-generation vaccines due to their ability to induce antibody responses of superior magnitude, breadth, and durability. Computational protein design offers a route to nanoparticle scaffolds with structural and biochemical features tailored to specific vaccine applications. Although strategies for designing self-assembling proteins have been established, the recent development of powerful machine learning (M",Cyrus M Haas; Naveen Jasti; Annie Dosey; Joel D Allen; Rebecca Gillespie; Jackson McGowan; Elizabeth M Leaf; Max Crispin; Cole A DeForest; Masaru Kanekiyo; Neil P King,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,Proceedings of the National Academy of Sciences of the United States of America,computational biology,,,
Toward a ToxAtlas of Carbon-Based Nanomaterials: Single-Cell RNA Sequencing Reveals Initiating Cell Circuits in Pulmonary Inflammation.,"Understanding how nanomaterial properties drive acute lung inflammation is critical for the development of safer materials, but for low solubility carbon-based nanomaterials (CBNs) the initiation of the inflammatory response is still poorly understood. Leveraging single-cell RNA sequencing of mouse lungs, 12 h after intratracheally instillation with different CBN spherical carbon nanoparticles (CNP), tangled double-walled (DWCNT), and rigid multiwalled carbon nanotubes (MWCNT) and lipopolysaccha",Carola Voss; Lianyong Han; Meshal Ansari; Maximilian Strunz; Verena Haefner; Ilias Angelidis; Christoph H Mayr; Trine Berthing; Qiaoxia Zhou; Eva M Guenther; Osama Huzain; Otmar Schmid; Ulla Vogel; Janine Gote-Schniering; Svenja Gaedcke; Fabian J Theis; Herbert B Schiller; Tobias Stoeger,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,ACS nano,computational biology,,,
RNACOREX - RNA coregulatory network explorer and classifier.,"Micro-RNAs (miRNA) and their relationship with messenger RNAs (mRNA) have been widely associated with disease development and progression. Post-transcriptional coregulatory networks are sets of miRNA-mRNA interactions that regulate specific genetic behaviors through their combined activity. However, identifying reliable sets of such interactions associated with specific diseases remains challenging, partly due to the high rate of false positives and the lack of user-friendly tools developed for ",Aitor Oviedo-Madrid; José González-Gomariz; Ruben Armañanzas,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,PLoS computational biology,computational biology,,,
Quality Assessment of Large Language Model-Generated Medical Dialogue for Clinical Vignettes: Evaluation Study.,"Traditional clinical vignettes, though widely used in medical education, often focus on prototypical presentations; require substantial time and effort to develop; and fail to represent patient diversity, the complexity of clinical conditions, patients' perspectives, and the dynamic nature of physician-patient interactions.",Yasutaka Yanagita; Daiki Yokokawa; Shiichi Ihara; Ryo Yoshida; Yoshihide Okano; Takanori Uehara,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,JMIR formative research,medical AI,,,
"Switching the strict substrate specificities of the β-ketoacyl-acyl carrier protein synthases, FabH and BioZ.","The β-ketoacyl-acyl carrier protein (ACP) synthases are pivotal elongation enzymes that catalyze the condensation of acyl-CoA or acyl-ACP with malonyl-ACP to produce β-ketoacyl-ACP. Among these, the homologous enzymes FabH (β-ketoacyl-ACP synthase III) and the recently characterized BioZ play crucial roles, initiating the biosynthetic pathways for fatty acids and biotin, respectively. FabH primarily utilizes acetyl-CoA as the primer substrate, whereas BioZ exclusively condenses the longer glutar",Xudong Hang; Lin Zhang; Yanqiang Huang; Yuanyuan Hu; Qi Zeng; John E Cronan; Liang Zhang; Hongkai Bi,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,Proceedings of the National Academy of Sciences of the United States of America,medical AI,,,
A multivalent nanobody-drug conjugate to prevent and treat influenza virus infections.,We describe the production and use of nanobody drug conjugates that comprise of VHH,Thibault J Harmand; Laura Pietrok; Helen Rich; Rhogerry Deshycka; Laney Flanagan; Aaron Accardo; Novalia Pishesha; Hidde L Ploegh,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,Proceedings of the National Academy of Sciences of the United States of America,medical AI,,,
Conformational regulation of two essential activators of bacterial cell elongation.,"The peptidoglycan (PG) cell wall is critical for bacterial growth and survival and is a primary antibiotic target. MreD is an essential accessory factor of the Rod complex, which carries out PG synthesis during elongation, yet little is known about how MreD facilitates this process. Here, we present the cryoelectron microscopy structure of ",Morgan S A Gilman; Irina Shlosman; Daniel D Samé Guerra; Masy Domecillo; Elayne M Fivenson; Claire Bourett; Thomas G Bernhardt; Nicholas F Polizzi; Joseph J Loparo; Andrew C Kruse,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,Proceedings of the National Academy of Sciences of the United States of America,medical AI,,,
Scaffold vaccination for prevention of orthopedic device infection.,,Alexander M Tatara; Shanda Lightbown; Shawn Kang; Wei-Hung Jung; Hamza Ijaz; Jean C Lee; Sandra B Nelson; Michael Super; David J Mooney,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,Proceedings of the National Academy of Sciences of the United States of America,medical AI,,,
From sequence to scaffold: Computational design of protein nanoparticle vaccines from AlphaFold2-predicted building blocks.,"Self-assembling protein nanoparticles are being increasingly utilized in the design of next-generation vaccines due to their ability to induce antibody responses of superior magnitude, breadth, and durability. Computational protein design offers a route to nanoparticle scaffolds with structural and biochemical features tailored to specific vaccine applications. Although strategies for designing self-assembling proteins have been established, the recent development of powerful machine learning (M",Cyrus M Haas; Naveen Jasti; Annie Dosey; Joel D Allen; Rebecca Gillespie; Jackson McGowan; Elizabeth M Leaf; Max Crispin; Cole A DeForest; Masaru Kanekiyo; Neil P King,2025-06-15,PubMed,,2025.0,medical_paper,pubmed,Proceedings of the National Academy of Sciences of the United States of America,medical AI,,,
Machine learning,,,,Wikipedia,https://en.wikipedia.org/wiki/Machine_learning,,encyclopedia_article,wikipedia,,,"Machine learning (ML) is a field of study in artificial intelligence concerned with the development and study of statistical algorithms that can learn from data and generalise to unseen data, and thus perform tasks without explicit instructions. Within a subdiscipline in machine learning, advances in the field of deep learning have allowed neural networks, a class of statistical algorithms, to surpass many previous machine learning approaches in performance.",Machine_learning,en
Artificial intelligence,,,,Wikipedia,https://en.wikipedia.org/wiki/Artificial_intelligence,,encyclopedia_article,wikipedia,,,"Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making. It is a field of research in computer science that develops and studies methods and software that enable machines to perceive their environment and use learning and intelligence to take actions that maximize their chances of achieving defined goals.",Artificial_intelligence,en
Computer science,,,,Wikipedia,https://en.wikipedia.org/wiki/Computer_science,,encyclopedia_article,wikipedia,,,"Computer science is the study of computation, information, and automation. Included broadly in the sciences, computer science spans theoretical disciplines to applied disciplines. An expert in the field is known as a computer scientist.",Computer_science,en
History of computing,,,,Wikipedia,https://en.wikipedia.org/wiki/History_of_computing,,encyclopedia_article,wikipedia,,,"The history of computing extends beyond the history of computing hardware and modern computing technology including earlier methods that relied on pen and paper or chalk and slate, with or without the aid of tables.",History_of_computing,en
Machine learning with sklearn,,Thomas P. Trappenberg,2019-01-01,Crossref,https://doi.org/10.1093/oso/9780198828044.003.0003,2019.0,academic_paper,crossref,,,,,
Optimization and Machine Learning,,,2022-01-01,Crossref,https://doi.org/10.1002/9781119902881,2022.0,academic_paper,crossref,,,,,
Why Use Automated Machine Learning?,,Kai R. Larsen; Daniel S. Becker,2021-01-01,Crossref,https://doi.org/10.1093/oso/9780190941659.003.0001,2021.0,academic_paper,crossref,,,,,
Machine learning,,,2012-01-01,Crossref,https://doi.org/10.1017/cbo9780511804779.017,2012.0,academic_paper,crossref,,,,,
Machine learning,,,2011-01-01,Crossref,https://doi.org/10.1017/cbo9780511975509.007,2011.0,academic_paper,crossref,,,,,
Editorial: Human and Machine Learning,,Pat Langley,1986-01-01,Crossref,https://doi.org/10.1023/a:1022854429410,1986.0,academic_paper,crossref,,,,,
Research Papers in Machine Learning,,Pat Langley,1987-01-01,Crossref,https://doi.org/10.1023/a:1022603230145,1987.0,academic_paper,crossref,,,,,
Machine Learning and Qualitative Reasoning,,Ivan Bratko,1994-01-01,Crossref,https://doi.org/10.1023/a:1022661713654,1994.0,academic_paper,crossref,,,,,
Machine Learning and Concept Formation,,Pat Langley,1987-01-01,Crossref,https://doi.org/10.1023/a:1022896407371,1987.0,academic_paper,crossref,,,,,
Front Matter,,,2022-01-01,Crossref,https://doi.org/10.1002/9781119902881.fmatter,2022.0,academic_paper,crossref,,,,,
Machine Learning: A Maturing Field,,Jaime Carbonell,1992-01-01,Crossref,https://doi.org/10.1023/a:1022665512030,1992.0,academic_paper,crossref,,,,,
Machine Learning and Grammar Induction,,Pat Langely,1987-01-01,Crossref,https://doi.org/10.1023/a:1022808826027,1987.0,academic_paper,crossref,,,,,
Editorial: The Terminology of Machine Learning,,Pat Langley,1986-01-01,Crossref,https://doi.org/10.1023/a:1022840627593,1986.0,academic_paper,crossref,,,,,
Machine learning and medical education,,,2020-01-01,Crossref,https://doi.org/10.37473//10.1038/s41746-018-0061-1,2020.0,academic_paper,crossref,,,,,
Machine learning concepts,,,2012-01-01,Crossref,https://doi.org/10.1017/cbo9780511804779.018,2012.0,academic_paper,crossref,,,,,
Index,,,2022-01-01,Crossref,https://doi.org/10.1002/9781119902881.index,2022.0,academic_paper,crossref,,,,,
Machine Learning as an Experimental Science,,Pat Langley,1988-01-01,Crossref,https://doi.org/10.1023/a:1022623814640,1988.0,academic_paper,crossref,,,,,
Editorial: Advice to Machine Learning Authors,,Pat Langley,1990-01-01,Crossref,https://doi.org/10.1023/a:1022647305786,1990.0,academic_paper,crossref,,,,,
New Theoretical Directions In Machine Learning,,David Haussler,1988-01-01,Crossref,https://doi.org/10.1023/a:1022817027844,1988.0,academic_paper,crossref,,,,,
Adversarial Machine Learning Challenges,,,2019-01-01,Crossref,https://doi.org/10.1017/9781107338548.009,2019.0,academic_paper,crossref,,,,,
